               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.027601,            0.012235,             0.04095,             0.70712,             0.64465,             0.74537,             0.50492,            0.016552,           0.0039997,             0.01982,           0.0090667,           0.0090667,           0.0090667
                  37,            0.028256,            0.012114,            0.039032,              0.6458,             0.74215,             0.81646,             0.58285,            0.014472,           0.0037357,            0.020722,             0.00904,             0.00904,             0.00904
                  38,            0.027887,            0.011973,            0.039619,             0.72436,             0.69525,             0.78455,             0.57961,            0.014908,           0.0038293,            0.016638,           0.0090133,           0.0090133,           0.0090133
                  39,            0.025266,            0.011693,            0.039426,             0.61445,             0.78466,             0.80924,             0.55028,            0.017382,            0.003593,            0.016832,           0.0089867,           0.0089867,           0.0089867
                  40,            0.024923,            0.011565,            0.036363,              0.7765,             0.66345,             0.82706,             0.58866,            0.016063,           0.0034978,            0.016287,             0.00896,             0.00896,             0.00896
                  41,            0.026545,            0.011548,            0.036593,               0.677,             0.81339,              0.8453,             0.63156,            0.014838,           0.0035479,            0.016863,           0.0089333,           0.0089333,           0.0089333
                  42,            0.026037,            0.011513,             0.03553,             0.73582,             0.70365,             0.81596,             0.60059,            0.014133,           0.0036565,            0.017447,           0.0089067,           0.0089067,           0.0089067
                  43,            0.026575,             0.01135,            0.037128,             0.71527,             0.79055,             0.84944,             0.60336,            0.015203,           0.0035491,            0.015598,             0.00888,             0.00888,             0.00888
                  44,            0.026842,            0.011724,            0.039232,             0.73933,             0.71381,             0.81926,             0.56867,            0.014761,           0.0039788,            0.017361,           0.0088533,           0.0088533,           0.0088533
                  45,            0.027976,            0.011591,            0.036729,             0.67422,             0.74364,             0.81821,             0.58869,            0.017564,            0.003687,             0.01362,           0.0088267,           0.0088267,           0.0088267
                  46,            0.025956,            0.011497,            0.035095,             0.76557,             0.69918,             0.77851,             0.56914,             0.01537,           0.0035985,            0.014941,              0.0088,              0.0088,              0.0088
                  47,            0.027055,            0.011952,            0.038217,             0.75975,             0.73216,             0.82982,             0.56047,            0.016968,           0.0034543,            0.016197,           0.0087733,           0.0087733,           0.0087733
                  48,            0.025677,            0.011519,            0.033408,             0.67081,             0.72142,             0.79637,             0.57227,            0.018318,           0.0038155,            0.017485,           0.0087467,           0.0087467,           0.0087467
                  49,            0.027205,            0.011606,            0.038436,             0.77249,             0.82592,             0.89763,             0.66833,            0.015696,           0.0034353,            0.012278,             0.00872,             0.00872,             0.00872
                  50,            0.025781,            0.011471,            0.034813,             0.82535,             0.70342,             0.84678,             0.63925,            0.014759,           0.0035384,            0.013162,           0.0086933,           0.0086933,           0.0086933
                  51,            0.026655,            0.011785,             0.03803,             0.72359,             0.71409,             0.80523,             0.59508,            0.014834,           0.0038394,            0.014967,           0.0086667,           0.0086667,           0.0086667
                  52,            0.025753,            0.011385,            0.031479,             0.69503,             0.83646,              0.8625,             0.65193,            0.013845,           0.0036596,            0.011464,             0.00864,             0.00864,             0.00864
                  53,            0.025645,            0.010933,             0.03391,             0.76157,             0.83004,             0.85283,             0.59552,            0.017295,           0.0034622,            0.012013,           0.0086133,           0.0086133,           0.0086133
                  54,            0.026209,            0.011373,            0.034113,             0.70285,              0.6978,             0.79859,             0.57578,            0.015019,           0.0039282,            0.017327,           0.0085867,           0.0085867,           0.0085867
                  55,            0.025779,            0.011946,            0.035194,             0.72422,             0.76874,             0.82727,             0.61892,            0.014913,           0.0038733,            0.012799,             0.00856,             0.00856,             0.00856
                  56,             0.02409,            0.011582,             0.03173,             0.73434,             0.74968,             0.82961,             0.57548,            0.015259,           0.0035981,            0.014807,           0.0085333,           0.0085333,           0.0085333
                  57,            0.026255,            0.011546,            0.033428,             0.84544,             0.75239,             0.86087,             0.63106,            0.014601,           0.0036396,            0.012517,           0.0085067,           0.0085067,           0.0085067
                  58,            0.026386,            0.011348,            0.032723,             0.73851,              0.7041,             0.82194,             0.57877,            0.016113,           0.0039963,            0.016589,             0.00848,             0.00848,             0.00848
                  59,            0.026662,            0.011177,            0.032966,             0.78205,             0.84222,             0.87457,             0.63322,            0.014908,           0.0034194,            0.012788,           0.0084533,           0.0084533,           0.0084533
                  60,            0.025339,            0.011475,            0.031677,             0.85406,             0.72848,             0.88937,             0.66618,            0.014672,           0.0032791,            0.013074,           0.0084267,           0.0084267,           0.0084267
                  61,            0.025789,            0.010843,             0.03023,             0.71785,             0.85731,             0.87878,             0.65512,            0.014696,           0.0033354,            0.011254,              0.0084,              0.0084,              0.0084
                  62,            0.026075,            0.011034,            0.030441,             0.84837,              0.8103,             0.90224,             0.66587,            0.014615,           0.0034672,            0.010241,           0.0083733,           0.0083733,           0.0083733
                  63,            0.025106,             0.01104,            0.030795,             0.73408,             0.84663,             0.87165,              0.5966,            0.016738,            0.003852,            0.012952,           0.0083467,           0.0083467,           0.0083467
                  64,            0.025279,            0.010675,            0.032391,             0.83379,             0.82758,             0.89464,              0.6708,            0.014365,           0.0034387,            0.011998,             0.00832,             0.00832,             0.00832
                  65,            0.024358,            0.010985,             0.02848,             0.81923,             0.81084,             0.87712,             0.64954,            0.014212,           0.0034282,             0.01217,           0.0082933,           0.0082933,           0.0082933
                  66,            0.024983,            0.010859,            0.030003,             0.77325,             0.83796,             0.87667,             0.62705,            0.014935,           0.0034156,            0.010835,           0.0082667,           0.0082667,           0.0082667
                  67,            0.025264,            0.010461,            0.028678,             0.81485,             0.80696,             0.89871,             0.61828,            0.016575,           0.0035824,             0.01065,             0.00824,             0.00824,             0.00824
