               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060125,           0.0060761,            0.028597,          0.00011142,            0.014423,          7.5367e-05,          1.0543e-05,            0.026674,           0.0034805,            0.018362,             0.00016,             0.00016,             0.04766
                   1,            0.045867,            0.006752,            0.027446,          0.00024723,             0.11332,           0.0003866,          6.8601e-05,            0.025999,            0.003462,            0.018314,           0.0003489,           0.0003489,            0.044849
                   2,            0.038415,           0.0071386,            0.026966,          0.00030166,             0.18979,          0.00097985,          0.00020062,            0.025489,           0.0037839,            0.018357,          0.00053443,          0.00053443,            0.042034
